Week,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,6,,,,,,,7,,,,,,,8,,,,,,,9,,,,,,,10,,,,,,,11,,,,,,,12,,,,,,,13,,,,,,,14,,,,,,,15,,,15.3 weeks,109 days,,,Week,109 days
Row Labels,2015-12-08,2015-12-10,2015-12-11,2015-12-12,2015-12-13,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-19,2015-12-20,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-25,2015-12-26,2015-12-27,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-01,2016-01-02,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-10,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-16,2016-01-17,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-04-01,2016-04-03,2016-04-10,FisherDays,FisherWeeks,Frequency/Week,Row Labels,FisherDays
Cell 13,,,,,,,,,65,25,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,9,,,,,,,,,7,6,1.166666667,Cell 13,7
Cell 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,65,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,175,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1.25,Cell 15,5
Cell 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 19,1
Cell 20,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,1,,,,,,,21,5,10,,,,,,,,,,,,,,,,2,5,4,1.25,Cell 20,5
Cell 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,1,1,Cell 23,1
Cell 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,50,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,14,,,7,,,,,,,,,,31,5,,,,,,,,,,7,5,1.4,Cell 24,7
Cell 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,44,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,5,1,Cell 25,5
Cell 26,,,,,,63,,4,20,15,,,,,,8,,,39,,23,,,,,,,,,,,,66,,,10,,,,8,15,,,,24,,,,8,,,,5,,,,,,9,,,,,,,,,,,,,,,,116,,22,,,,,,,,10,,,,,,,,,,,39,,10,,12,,5,,,,,,,,21,11,1.909090909,Cell 26,21
Cell 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 28,1
Cell 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 3,1
Cell 30,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,Cell 30,4
Cell 31,40,,,,,,,,,,,,,,,,62,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,47,10,,,32,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,1.75,Cell 31,7
Cell 32,,,,,,,60,,,,,102,118,,,,,,,,,,,,10,,,,,24,,,,,,,17,17,,,,,,2,,8,,,20,15,5,10,10,,,,,,,,,,,,,,,,,,,,,,,,102,,25,154,,,,,57,,,8,122,,27,,,,,,,,,,,,,,,,,,,20,9,2.222222222,Cell 32,20
Cell 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,2,,,,,,,,,2,2,1,Cell 33,2
Cell 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,5,3,4,,,,,,,,,60,102,,14,26,,5,,,,5,,,,,9,,,,,,,,,,,28,46,,,,,,,,,,,,,,,,,,13,7,1.857142857,Cell 34,13
Cell 35,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,18,20,,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,94,,,,,,,,,,42,,,,,,,,5,,,,,,109,,,,,,,,,,,,,,,,20,,,,,10,9,1.111111111,Cell 35,10
Cell 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,3,2,1.5,Cell 36,3
Cell 37,,,,,,,,128,15,,5,6,,,,,20,16,,,,,,,,,,,,,,90,25,,,,,,,,,,,,,,,,,,,,,3,,40,,,,,,,,,,,14,5,,43,,,7,,,,,,,,,,15,,3,,,,,,73,5,,7,,,,6,,,5,,,,,,,,,21,10,2.1,Cell 37,21
Cell 38,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,25,,,13,,,,,,,,,,,,,,,,4,3,1.333333333,Cell 38,4
Cell 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 39,1
Cell 40,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,1,,3,3,1,Cell 40,3
Cell 41,,,,,,,,,,,,,,101,5,,,,,,,,11,14,,,15,,,,,,,,,,,308,,,,,,15,,,,,8,,,,,,,,,,,,,,,,,,,41,137,,,5,,,,,,,,,,,,,,,5,30,,63,,,,,,,,,,,,,,,,12,4,,,16,9,1.777777778,Cell 41,16
Cell 42,,,,,,,,,45,79,,,,110,,,,,4,,,,,,,,,,,,,10,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,9,5,1.8,Cell 42,9
Cell 43,,,10,,,,5,,,36,49,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,5,,11,,,,,,,5,,,,,,,,,,,,,,,,,,,,55,,,,54,,,,5,,,,5,,,42,,5,,,,,,,,,,,,,,,,,,,,,,,,13,8,1.625,Cell 43,13
Cell 44,,,,77,80,,,25,,25,5,,,,,,,,,1,,3,,,,15,,,,,,,208,6,,,,16,,,,,,,,,,5,,,,,,,,,,,,,,,31,65,5,,,10,,,,,6,,,5,,,,,,,,,49,,,17,,,,,,,,,,,,,5,10,,,,,,,,20,11,1.818181818,Cell 44,20
Cell 45,,11,,100,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,18,,,,,,,,,,,,,,,,,,,5,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,Cell 45,4
Cell 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,128,,,5,,,,,,,,,,,,,3,2,1.5,Cell 46,3
Cell 47,,,,,,,15,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,7,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,16,,130,,2,3,,,,,9,6,1.5,Cell 47,9
Cell 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 48,1
Cell 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,5,164,26,14,,,,,,,,15,,,20,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,149,,15,15,,,,,6,,7,,,,,,,14,7,2,Cell 51,14
Cell 52,,,,,,,,257,,,42,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,16,,,,,15,,,5,,,,12,,,,,,,,,,,,,,80,,,,10,,,,,,,,,,,,,,,,68,7,,,,,,,,,,,,,,,,,,,,12,7,1.714285714,Cell 52,12
Cell 53,115,137,54,35,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,172,3,,,,,,,,,,,,,,,,,,,,,,15,,,,27,32,,5,,,,10,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,10,6,1.666666667,Cell 53,10
Cell 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,74,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1.333333333,Cell 54,4
Cell 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 55,1
Cell 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 56,1
Cell 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,1,1,1,Cell 61,1
Cell 62,,,,,,123,,,10,5,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,38,594,,,17,,,9,,,,,,,,8,,,,,,,,,,16,,,,,120,47,,,,,,10,33,5,,15,,,,7,,,,160,,,,28,7,,,,,,,19,,,,,5,,,,22,12,1.833333333,Cell 62,22
Cell 63,,,,,,,,,,,35,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,24,,,,,,,,,,,,,,,,,,103,14,5,5,,,,,,,,,,,,,,,,,41,16,,,,,5,,,,,,5,,,,,,,,,,12,9,1.333333333,Cell 63,12
Cell 64,,,,,185,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,5,,,,,,85,70,10,,,,,,,,,,,,,,,,,,,,,28,,16,,,,,,,,,,,,,,,,,,,,,,,,8,6,1.333333333,Cell 64,8
Cell 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,Cell 65,1
